Humedad del Suelo (%),Temperatura de la Zona (°C),Helada de Suelo (Sí/No)
59.393215353459226,13.715210831246303,No
74.36704297351775,-9.597452173756267,Si
64.24870384644794,9.033047834288908,No
59.03948646972072,18.350815637641947,No
48.128931940501424,-8.240982719036376,Si
68.13047017599905,25.180859320949203,No
49.38284901364233,10.803256665426922,No
90.25957007038718,-8.773558066971283,Si
96.72964844509264,-1.0234555231663922,Si
44.50973669431999,28.147027857092517,No
81.25525342743981,13.292789322082214,No
57.600542777761405,-5.7010972892478184,Si
61.124010498453906,1.5017800912224608,No
93.3036974463395,8.26814503441937,No
16.393245237809825,-9.161997229290781,Si
17.841636973138662,6.464620544550353,No
11.819655769629314,9.578345417387926,No
84.93578609931441,-0.2528849887507114,Si
80.03410758548654,13.545560011679463,No
88.30109334221372,20.129604783687075,No
98.07565080094876,-0.5666310357745807,Si
81.92427077950512,14.819996011199507,No
51.53314260276387,15.584889718549665,No
80.24762586578099,27.94161204515364,No
20.64469832820399,21.13104669185775,No
67.59289191947715,23.933810791600237,No
22.901795866814176,9.616796337451007,No
95.02020253446256,-2.5860565208246866,Si
56.96634895750645,29.8326117183854,No
47.319574599147124,-4.8257695584520155,Si
33.81000508941643,8.858292774170614,No
79.6810320490795,-7.276276030315736,Si
51.05352989948937,27.754034294032778,No
61.15905539817837,28.596997633937583,No
11.691082039271963,18.775562480158943,No
65.58719473682893,3.9997137452067566,No
65.08861504501792,0.1752960447049734,No
65.52405971872813,0.6121329814818957,No
94.93732706631617,-4.908238983197011,Si
71.36382691931351,11.032358123068917,No
42.35571105164074,-4.3273089719409,Si
49.332875841940734,2.66922666213825,No
72.78680763345383,15.068259038364197,No
15.420292446634285,19.101744383629992,No
70.00900439011009,-9.029091815117551,Si
70.35740826563435,7.204639375069597,No
28.934430496645682,16.08498379368556,No
21.603366788936796,24.129839046340514,No
38.38855158317655,9.012991288483295,No
42.73396938483604,28.76823486870741,No
61.317709337609166,0.6253019016578918,No
49.47413621160883,-9.459651734931246,Si
98.95364542533035,9.350114588069445,No
19.184032967322526,0.2445518008007177,No
28.79890804853512,22.94870688092678,No
24.517856609649662,-0.6890931127555167,Si
68.77974929188585,2.4251687316522528,No
32.79624422858039,21.64909724076449,No
51.96796955706757,18.6057300810144,No
31.998303280144246,12.322049466290501,No
24.307262528096775,18.197922476910378,No
19.933762704787462,6.745474542801059,No
69.06966305187461,-9.787598095413287,Si
22.43646562137524,-9.545794859512299,Si
27.692412551204814,10.448871502947465,No
43.18526535948677,-6.6683608112400306,Si
83.88939068631416,-7.956980793229729,Si
18.739114821375516,28.620665565498932,No
85.41504167489235,24.36010558632234,No
18.648856710456677,-3.9189109116172194,Si
97.88135185120562,-9.97343125639182,Si
52.178608148293144,27.666711815590254,No
97.90849793713035,1.133011932804573,No
64.43609677705413,-2.5640958857801,Si
76.53372214584715,17.660324313261412,No
13.526901302888861,-5.643850446346952,Si
35.45262663187686,0.5859839201120121,No
20.8176905091852,29.00378720848186,No
36.65261777699304,15.57851097896041,No
20.685494705881965,10.82711165930214,No
38.618486145457844,5.91674459339751,No
47.283669506320294,20.98003819536808,No
15.773274671390592,-4.361700939052251,Si
72.32249074330178,28.693512081479284,No
60.99413087859176,24.444920322631468,No
33.885054184550086,14.70627930276973,No
57.09232481200297,-8.283752383897674,Si
18.45464596825975,18.034225977909507,No
61.83518460005614,26.531373635419236,No
93.63665778185927,10.98308269914504,No
38.67120572061913,4.168992873090511,No
70.06693419673135,-5.188906200821215,Si
21.861807616395296,20.19604416550273,No
74.4694483706709,25.400874048472247,No
36.0465483652481,-5.989930236966057,Si
26.487222580640516,20.359382190093676,No
62.78616413290749,-9.3175805496361,Si
11.80967915687442,28.68219672308878,No
84.60460262956268,14.602320825403847,No
10.422592857329235,12.097562359665325,No
71.0034883116607,1.8379933435571125,No
34.30071758729484,27.17166686279134,No
76.16746199103353,0.6362250934716407,No
96.59696906056944,23.125864528667798,No
32.387782916796226,29.404347173485277,No
61.85416009760532,21.335865820592232,No
63.28377381446551,10.759596815457272,No
61.502671521178605,-7.357029445933123,Si
30.077346937655648,8.89655156684292,No
95.74741103652865,7.530237878868142,No
50.241284075586464,-1.8881583525201897,Si
86.1767805224015,6.943505468572177,No
72.95313477857539,4.310315363213547,No
36.76932557696203,-3.4526295539340612,Si
83.24180377322295,7.654965733299445,No
45.685516676228616,0.5119982529795628,No
89.29928774000454,10.882496827290574,No
62.314558537227285,-8.593597611352234,Si
89.35618256693675,26.24925679149137,No
72.32784310699893,22.654572220794243,No
75.27288518376764,12.103253300420182,No
55.119194373403204,24.072343310289725,No
96.04752712509016,28.495802952432015,No
67.95911793066736,-5.5791082378935775,Si
